course_id,phase,course_name,topic_id,topic_name,content_id,content_name,learning_objectives,teaching_hours,items_per_topic,course_difficulty,card,item
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,"Common Normal Ultrasonographs, Isotope Scan,",describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM01
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Chest X-ray (PA): Normal Landmarks,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM02
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,"Magnetic Resonance Images (MRI), CT Scan",describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM03
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Paranasal Sinuses OM View,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM04
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Abdomen AP View,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM05
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Arm Including Proximal & Distal Joints AP & Lateral View,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM06
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Chest PA View,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM07
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Foot Including Proximal & Distal Joints AP & Lateral View,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM08
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Forearm Including Proximal & Distal Joints AP & Lateral View,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM09
ANA101,1,Anatomy,ANA101_TOP01,Anatomy of Radiology & Images,ANA101_TOP01-C001,Hand Including Proximal & Distal Joints,describe radio-opaque and radio-lucent structures identify and locate the normal structures in radiograph,29,14,1,ANA-C01,ANA-C01-ITM10
