studentID,course,item1,item1_topic,item1_hours,item2,item2_topic,item2_hours,item3,item3_topic,item3_hours,item4,item4_topic,item4_hours,item5,item5_topic,item5_hours,upc_item6_topic,upc_item6_hours,upc_item6_date,upc_item7_topic,upc_item7_hours,upc_item7_date,upc_item8_topic,upc_item8_hours,upc_item8_date,upc_item9_topic,upc_item9_hours,upc_item9_date,upc_item10_topic,upc_item10_hours,upc_item10_date
500001,Anatomy,0.65,Anatomy of Radiology & Images,29,0.38,Clinical Anatomy,37,0.76,General Anatomy,20,0.41,Human Genetics,16,0.82,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500002,Anatomy,0.81,Anatomy of Radiology & Images,29,0.57,Clinical Anatomy,37,0.88,General Anatomy,20,0.76,Human Genetics,16,0.32,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500003,Anatomy,0.96,Anatomy of Radiology & Images,29,0.81,Clinical Anatomy,37,0.82,General Anatomy,20,0.34,Human Genetics,16,0.58,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500004,Anatomy,0.52,Anatomy of Radiology & Images,29,0.93,Clinical Anatomy,37,0.72,General Anatomy,20,0.85,Human Genetics,16,0.57,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500005,Anatomy,0.42,Anatomy of Radiology & Images,29,0.65,Clinical Anatomy,37,0.3,General Anatomy,20,0.85,Human Genetics,16,0.71,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500006,Anatomy,0.8,Anatomy of Radiology & Images,29,0.51,Clinical Anatomy,37,0.96,General Anatomy,20,0.9,Human Genetics,16,0.82,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500007,Anatomy,0.39,Anatomy of Radiology & Images,29,0.59,Clinical Anatomy,37,0.28,General Anatomy,20,0.36,Human Genetics,16,0.75,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500008,Anatomy,0.79,Anatomy of Radiology & Images,29,0.96,Clinical Anatomy,37,0.49,General Anatomy,20,0.52,Human Genetics,16,0.59,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500009,Anatomy,0.39,Anatomy of Radiology & Images,29,0.34,Clinical Anatomy,37,0.6,General Anatomy,20,0.42,Human Genetics,16,0.74,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
500010,Anatomy,0.57,Anatomy of Radiology & Images,29,0.86,Clinical Anatomy,37,0.76,General Anatomy,20,0.48,Human Genetics,16,0.86,General Embryology,18,General Histology,14,2025-10-20,Living (surface) Anatomy,10,2025-10-27,Neuroanatomy,37,2025-11-03,Regional Anatomy: ABDOMEN,19,2025-11-10,Regional Anatomy: CENTRAL NERVOUS SYSTEM & EYEBALL,29,2025-11-17
